SoftWare_Version,SN,Station_ID,Fixture_ID,Carrier_SN,KB_Type,Key_Number,Key_Name,Location,ERS_Category,Operator,Test_Start_Time,Test_Stop_Time,Total_Test_Time,MO,ProductID,PASS_FAIL,Error_Message,Key_Result_Value,Key_Result_Value_0_1
20201013_UT-ANSI,FPW0425G44EQ09PBC,,2,,ANSI,40,RIGHTOPTION,M,Automation,adm,2020-10-16 04:03:39,2020-10-16 04:03:46,6.801, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW0425G44EQ09PBC,,2,,ANSI,41,LEFTSHIFT,M,Automation,adm,2020-10-16 04:03:39,2020-10-16 04:03:46,6.801, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW0425G44EQ09PBC,,2,,ANSI,42,CAPSLOCK,M,Automation,adm,2020-10-16 04:03:39,2020-10-16 04:03:46,6.801, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW0425G44EQ09PBC,,2,,ANSI,43,A,M,Automation,adm,2020-10-16 04:03:39,2020-10-16 04:03:46,6.801, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW0425G44EQ09PBC,,2,,ANSI,44,TAB,M,Automation,adm,2020-10-16 04:03:39,2020-10-16 04:03:46,6.801, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW0425G44EQ09PBC,,2,,ANSI,45,J,M,Automation,adm,2020-10-16 04:03:39,2020-10-16 04:03:46,6.801, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW0425G44EQ09PBC,,2,,ANSI,46,D,M,Automation,adm,2020-10-16 04:03:39,2020-10-16 04:03:46,6.801, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW0425G44EQ09PBC,,2,,ANSI,47,I,M,Automation,adm,2020-10-16 04:03:39,2020-10-16 04:03:46,6.801, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW0425G44EQ09PBC,,2,,ANSI,48,Y,M,Automation,adm,2020-10-16 04:03:39,2020-10-16 04:03:46,6.801, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW0425G44EQ09PBC,,2,,ANSI,49,P,M,Automation,adm,2020-10-16 04:03:39,2020-10-16 04:03:46,6.801, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW0425G44EQ09PBC,,2,,ANSI,50,CAPSLOCK_LED_TEST,M,Automation,adm,2020-10-16 04:03:39,2020-10-16 04:03:46,6.801, ,0x27a,OK,,8.261,1
20201013_UT-ANSI,FPW0425G44EQ09PBC,,2,,ANSI,51,CAPSLOCK_LED_COLOR_TEST,M,Automation,adm,2020-10-16 04:03:39,2020-10-16 04:03:46,6.801, ,0x27a,OK,,PASS,1
