SoftWare_Version,SN,Station_ID,Fixture_ID,Carrier_SN,KB_Type,Key_Number,Key_Name,Location,ERS_Category,Operator,Test_Start_Time,Test_Stop_Time,Total_Test_Time,MO,ProductID,PASS_FAIL,Error_Message,Key_Result_Value,Key_Result_Value_0_1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,29,29PIN_SHORT_TEST,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,30,30PIN_SHORT_TEST,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,31,NUM9,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,32,RIGHTSHIFT,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,33,B,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,34,V,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,35,FN,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,36,LEFTOPTION,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,37,CONTROL,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,38,RIGHTCMND,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,39,RIGHTOPTION,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,40,C,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,41,J,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,42,Y,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,43,TAB,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,44,LEFTSHIFT,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,45,I,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,46,CAPSLOCK,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,47,P,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,48,CAPSLOCK_LED_TEST,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,9.853,1
20201013_UT-ANSI,FPW042530KEN7Y8AS,,1,,ANSI,49,CAPSLOCK_LED_COLOR_TEST,M,Automation,op,2020-10-15 19:35:31,2020-10-15 19:35:40,8.497, ,0x27a,OK,,PASS,1
